seller_state,seller_zip_code_prefix,geolocation_lat,geolocation_lng,total_reviews,avg_review_score,percentage_negative_reviews
SC,89203,-26.312712610848941,-48.857218790163536,318,5,0
SC,89208,-26.343490313612577,-48.832746481119628,67,5,0
SC,89210,-26.333393819408919,-48.833371004424819,216,5,0
SC,89219,-26.251316214410174,-48.870834381382238,688,5,0
SC,89240,-26.245563705378828,-48.6078889584994,520,5,0
SC,89245,-26.407378348238254,-48.758112726410012,79,5,0
SC,89255,-26.467360494541261,-49.093061835412641,960,5,0
SC,89280,-26.249611365425217,-49.380236075511178,126,5,0
SC,89295,-26.256138918645821,-49.52153209709077,690,5,0
SC,89620,-27.399055235300438,-51.225564957350336,196,5,0
SC,89801,-27.099447738368916,-52.610097129674116,245,5,0
SC,89812,-27.114496042271337,-52.602812336051215,425,5,0
SC,89870,-26.847939738284047,-52.98723222324768,244,5,0
SP,1022,-23.544921826153427,-46.631931335611945,85,5,0
SP,1039,-23.541370857771941,-46.639165288851189,19,5,0
SP,1125,-23.527288449571639,-46.640164323508742,35,5,0
SP,1127,-23.52548080336663,-46.641595488526413,40,5,0
SP,1131,-23.522379737671031,-46.64310784736643,62,5,0
SP,1314,-23.552640734461256,-46.645204377633029,146,5,0
SP,1408,-23.567111895028106,-46.6608134158178,847,5,0
SP,1420,-23.563435490498804,-46.657916039196984,167,5,0
SP,1425,-23.572898532495419,-46.659247392367618,130,5,0
SP,2050,-23.517344154781878,-46.612135226939593,88,5,0
SP,2116,-23.520110678826,-46.585240043057318,13,5,0
SP,2220,-23.489760624425749,-46.577676515345495,132,5,0
SP,2236,-23.472602604059695,-46.568159955945426,240,5,0
SP,2238,-23.471205040999266,-46.571583338825533,62,5,0
SP,2610,-23.482631119781175,-46.659430860475247,29,5,0
SP,2737,-23.487732571152748,-46.6901820213997,98,5,0
SP,2916,-23.494252239511642,-46.713880309442168,54,5,0
SP,2968,-23.479323571257115,-46.707674716146315,47,5,0
SP,3077,-23.531680926472,-46.580702146286285,105,5,0
SP,3121,-23.563270061400424,-46.599403915167208,114,5,0
SP,3122,-23.568187676241035,-46.594753749010451,164,5,0
SP,3124,-23.570996783755191,-46.590966642832342,148,5,0
SP,3147,-23.595120905367683,-46.57334683733356,53,5,0
SP,3165,-23.559996646549287,-46.585973499508981,81,5,0
SP,3171,-23.550702971765354,-46.59043468474227,39,5,0
SP,3184,-23.564178243780923,-46.586620659653406,65,5,0
SP,3236,-23.592368116490814,-46.553386099109616,57,5,0
SP,3282,-23.588614272951972,-46.543918198532438,86,5,0
SP,3318,-23.544376874492144,-46.565376407576231,1254,5,0
SP,3340,-23.570342187724858,-46.551191324293775,32,5,0
SP,3372,-23.570556985026894,-46.555853479091304,34,5,0
